Year,Species,River,Run.Name,Total.Run,Data Source,Page,Notes
1994,Sockeye,Kenai River,Late Run,3382316,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1995,Sockeye,Kenai River,Late Run,2270352,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1996,Sockeye,Kenai River,Late Run,3173542,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1997,Sockeye,Kenai River,Late Run,3876451,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1998,Sockeye,Kenai River,Late Run,1470878,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1999,Sockeye,Kenai River,Late Run,2502573,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2000,Sockeye,Kenai River,Late Run,1441611,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2001,Sockeye,Kenai River,Late Run,1841802,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2002,Sockeye,Kenai River,Late Run,2972500,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2003,Sockeye,Kenai River,Late Run,3788165,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2004,Sockeye,Kenai River,Late Run,4992127,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2005,Sockeye,Kenai River,Late Run,5550443,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2006,Sockeye,Kenai River,Late Run,2509618,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2007,Sockeye,Kenai River,Late Run,3417485,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2008,Sockeye,Kenai River,Late Run,2307228,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2009,Sockeye,Kenai River,Late Run,2342076,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2010,Sockeye,Kenai River,Late Run,3043050,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2011,Sockeye,Kenai River,Late Run,4886753,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2012,Sockeye,Kenai River,Late Run,3562397,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2013,Sockeye,Kenai River,Late Run,3412203.94,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2014,Sockeye,Kenai River,Late Run,3399116.098,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
2015,Sockeye,Kenai River,Late Run,3779439.381,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
